gpu_Idx,pwr_W,gtemp_C,mtemp_C,sm_%,mem_%,enc_%,dec_%,jpg_%,ofa_%,mclk_MHz,pclk_MHz,pviol_%,tviol_bool,fb_MB,bar1_MB,ccpm_MB,rxpci_MB/s,txpci_MB/s
1,154,31,36,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,7
0,158,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,487,0
1,157,31,35,18,3,0,0,0,0,2619,1980,0,0,21369,4,0,0,16
0,159,29,33,20,3,0,0,0,0,2619,1980,0,0,25879,4,0,156,7
1,158,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,26,0
0,157,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,452,0
1,161,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,123,24
0,158,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,307,23
1,157,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,139,12
0,159,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,166,114
1,158,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,143,16
0,158,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,480,0
1,161,31,35,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,65,24
0,157,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,13,140
1,158,31,36,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,3,10
0,156,29,33,19,2,0,0,0,0,2619,1980,0,0,25879,4,0,92,132
1,158,31,36,20,3,0,0,0,0,2619,1980,0,0,21369,4,0,140,25
0,196,29,34,0,0,0,0,0,0,2619,1980,0,0,25883,4,0,87,0
1,243,33,37,36,19,0,0,0,0,2619,1980,0,0,23565,4,0,28,4
0,152,30,34,16,2,0,0,0,0,2619,1980,0,0,56671,4,0,532,0
